matrix;nodes;tasks;error;init_time;network_time;compute_time;all_time
scircuit.mtx;1;1;170460.6721415;4.2455341;0.0000817;17.9609495;22.225702
scircuit.mtx;1;2;170540.5396485;4.4482141;0.0337272;18.4456000;22.9142243
scircuit.mtx;1;4;170794.9263517;4.1874162;0.0752877;18.3013309;22.5120439
scircuit.mtx;1;8;170491.2843435;5.1816542;0.0718692;18.9133774;24.1253909
scircuit.mtx;1;16;14268870684956902293504.0000000;6.3413932;0.1141105;18.4636781;24.8558914
scircuit.mtx;1;32;11514688951823223488512.0000000;7.4474424;0.1959461;20.1571781;27.6869417
scircuit.mtx;1;64;nan;8.1588184;0.2948603;20.1021907;28.4173999
scircuit.mtx;2;2;170758.0436885;4.4213979;0.0430270;24.6435557;29.0979890
scircuit.mtx;2;4;170324.0369527;4.4117200;0.1411469;23.4191392;27.8615590
scircuit.mtx;2;8;170490.7858627;4.5028392;0.1415296;23.1744469;27.7261936
scircuit.mtx;2;16;47299237832707661824.0000000;4.4272987;0.1701520;24.3006687;28.8124755
scircuit.mtx;2;32;11514688951823223488512.0000000;4.4774025;0.8670838;26.6874989;31.9365207
scircuit.mtx;2;64;nan;4.6838129;0.3605097;22.2619527;27.2028171
scircuit.mtx;2;128;nan;5.9092868;0.4831690;24.4231731;30.6489512
wiki-Talk.mtx;1;1;2382489.7888549;14.6480170;0.0000862;0.9887705;16.6497288
wiki-Talk.mtx;1;2;2382488.7888550;15.6143710;0.1380218;0.9420007;17.5440356
wiki-Talk.mtx;1;4;2382488.7888550;16.8496879;0.3377761;0.9423416;18.8176524
wiki-Talk.mtx;1;8;2382488.7888550;18.2965031;0.3846253;0.9583401;20.4142134
wiki-Talk.mtx;1;16;2382488.7888550;21.7596638;0.6687079;0.9656213;24.0738293
wiki-Talk.mtx;1;32;2772417.4868386;24.5288788;1.3810694;0.9695323;27.3042934
wiki-Talk.mtx;1;64;nan;21.8142303;2.2691122;0.9697522;25.2885088
wiki-Talk.mtx;2;2;2382488.7888550;15.5651223;0.1509829;0.9363095;17.4823233
wiki-Talk.mtx;2;4;2382488.7888550;13.4359301;0.4331556;0.8813937;15.2839009
wiki-Talk.mtx;2;8;2382488.7888550;13.1708766;0.5484407;0.8756912;15.1566136
wiki-Talk.mtx;2;16;2382488.7888550;16.1122200;0.8916168;0.8926419;18.3287728
wiki-Talk.mtx;2;32;2772417.4868386;16.1915889;1.3741987;0.8883770;18.8628455
wiki-Talk.mtx;2;64;nan;15.7326106;2.2717633;0.8932729;19.1836851
wiki-Talk.mtx;2;128;nan;20.6428202;3.9719313;156.9210926;181.6824507
wikipedia-20051105.mtx;1;1;1358477.7865282;60.1196820;0.0000968;3.5043148;67.1510739
wikipedia-20051105.mtx;1;2;1358477.7865282;61.3929980;0.3582914;0.0000558;64.6286011
wikipedia-20051105.mtx;1;4;1358477.7865282;65.6238865;1.0018945;0.0000192;68.8918463
wikipedia-20051105.mtx;1;8;1358477.7865282;66.6173082;1.0416489;0.0000518;69.9356509
wikipedia-20051105.mtx;1;16;1358477.7865282;78.6959287;1.3914318;0.0000173;82.3516683
wikipedia-20051105.mtx;1;32;1358477.7865282;85.2689408;2.9915570;0.0000425;89.2247837
wikipedia-20051105.mtx;1;64;1358477.7865282;81.2282354;4.0821358;0.0000346;85.836826
wikipedia-20051105.mtx;2;2;1358477.7865282;51.7771592;0.4390148;0.0000167;55.1880397
wikipedia-20051105.mtx;2;4;1358477.7865282;53.2702770;1.0909516;0.0000248;56.7122136
wikipedia-20051105.mtx;2;8;1358477.7865282;59.0255341;1.0587477;0.0000184;62.7391402
wikipedia-20051105.mtx;2;16;1358477.7865282;71.0974602;2.0907668;0.0000422;74.7288436
wikipedia-20051105.mtx;2;32;1358477.7865282;70.8878407;2.2370217;0.0000342;74.7946639
wikipedia-20051105.mtx;2;64;1358477.7865282;72.3230094;3.8804990;0.0000314;76.7579138
wikipedia-20051105.mtx;2;128;1358477.7865282;79.3846926;5.5070230;0.0000343;85.1762846